Формат магазина	Магазин	Группа	Номенклатура	Месяц	Кол проданного товара, шт	Сумма продаж, тыс.руб.	Себестоимость продаж, тыс.руб.	Остаток на конец дня среднедневной, шт	Себестоимость остатков на конец дня среднедневная, тыс.руб.
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 247	8	56	1,13026	0,88424	1	0,01579
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 247	9	46	0,92174	0,72634	2	0,03158
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 248	7	750	14,39783	13,155	1	0,01754
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 248	8	562	11,27052	9,85748	7	0,12278
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 248	9	358	7,16123	6,27932	3	0,05262
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 249	7	144	4,35524	3,15648	0	5,68434E-17
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 249	8	177	5,14297	3,87984	4	0,08768
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 249	9	131	3,81782	2,87152	1	0,02192
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 250	7	17	0,36364	0,2975	1	0,0175
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 250	8	21	0,44259	0,3675	2	0,035
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 250	9	32	0,68153	0,56	1	0,0175
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 251	7	21	0,44039	0,37779	0	-4,26326E-17
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 251	8	26	0,55048	0,46774	1	0,01799
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 251	9	47	0,98532	0,84553	7	0,12593
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 252	7	180	6,0332	4,8906	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 252	8	208	7,03209	5,16176	8	0,21736
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 252	9	135	4,52226	3,34971	2	0,05434
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 260	7	645	13,66741	10,32	30	0,48
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 260	8	627	14,3467	10,492	18	0,306
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 260	9	510	11,8371	8,67	9	0,153
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 261	7	1596	25,61286	23,2218	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 261	8	1454	23,3617	21,1557	16	0,2328
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 261	9	1334	21,36813	19,4097	0	-6,82121E-16
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 267	7	303	5,16849	4,46016	6	0,08832
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 267	8	171	2,74443	2,51712	3	0,04416
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 267	9	136	2,18706	2,00192	9	0,13248
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 271	7	660	14,64722	11,22	20	0,34
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 271	8	552	12,63576	9,788	1	0,018
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 271	9	546	12,54516	9,828	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 274	7	0	0	0	7	0,154
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 280	7	315	7,58032	5,67	17	0,306
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 280	8	262	6,78209	5,09	3	0,06
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 280	9	276	7,15837	5,52	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 286	7	99	1,78779	1,34937	0	7,10543E-18
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 286	8	94	1,72025	1,28122	3	0,04089
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 286	9	54	0,98288	0,73602	3	0,04089
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 288	7	74	5,21778	4,4749	6	0,3678
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 288	8	42	2,97714	2,5746	4	0,2452
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 288	9	11	0,7699	0,67431	3	0,18392
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 289	7	14	1,1039	0,8946	9	0,5751
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 289	8	9	0,65892	0,5751	0	1,13687E-16
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 293	7	95	1,65033	1,04215	0	-1,42109E-17
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 293	8	131	1,5789	1,43707	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 293	9	108	1,297	1,18476	3	0,03291
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 294	7	81	1,95776	1,377	10	0,17
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 294	8	103	2,57868	1,823	2	0,036
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 294	9	58	1,45242	1,044	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 295	7	95	1,9615	1,24355	0	-1,42109E-17
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 295	8	112	1,92503	1,46608	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 295	9	97	1,64426	1,26973	1	0,01309
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 298	7	12	0,61688	0,44448	3	0,11112
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 298	8	66	3,6076	2,66046	15	0,6537
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 298	9	56	3,09546	2,44048	19	0,82802
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 299	7	123	2,35818	1,93602	1	0,01574
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 299	8	139	3,08249	2,18786	10	0,1574
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 299	9	72	1,58946	1,13328	6	0,09444
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 303	7	224	6,39769	4,48	12	0,24
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 303	8	181	5,27164	3,756	4	0,084
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 303	9	150	4,37856	3,15	2	0,042
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 305	7	171	3,77862	2,74113	5	0,08015
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 305	8	169	3,06972	2,70907	2	0,03206
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 305	9	169	3,15074	2,70907	8	0,12824
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 306	7	372	14,9559	12,19847	0	1,7053E-16
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 306	8	369	14,48289	12,13272	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 306	9	330	12,92593	10,8504	3	0,09864
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 307	7	170	8,85428	7,10122	12	0,44448
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 307	8	133	7,65172	5,18792	13	0,56654
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 307	9	118	7,35173	5,14244	14	0,61012
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 309	7	248	7,45911	5,58496	1	0,02252
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 309	8	178	5,37988	3,92891	18	0,39726
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 309	9	157	4,7393	3,46499	10	0,2207
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 315	7	63	1,21061	1,008	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 315	8	74	1,49626	1,184	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 315	9	31	0,61472	0,496	2	0,032
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 316	7	246	7,21014	5,658	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 316	8	294	8,62572	6,762	1	0,023
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 316	9	215	6,27587	4,945	7	0,161
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 317	7	22	0,53858	0,418	3	0,057
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 317	8	28	0,64942	0,532	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 317	9	21	0,47578	0,399	3	0,057
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 319	7	162	3,58315	2,35062	1	0,01451
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 319	8	138	3,05225	2,00238	2	0,02902
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 319	9	90	1,97901	1,3059	2	0,02902
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 320	7	25	0,71541	0,575	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 320	8	38	1,07167	0,874	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 320	9	31	0,87069	0,713	2	0,046
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 321	7	350	6,42457	4,50353	1	0,0142
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 321	8	280	5,37316	3,976	9	0,1278
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 321	9	144	2,74341	2,0448	3	0,0426
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 322	7	16	0,38774	0,288	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 322	8	30	0,7293	0,54	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 322	9	25	0,60334	0,45	2	0,036
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 323	7	59	2,92165	2,26796	0	1,98952E-16
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 323	8	89	4,39513	3,42116	3	0,11532
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 323	9	77	3,8095	2,95988	1	0,03844
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 324	8	2	0,08198	0,057	4	0,114
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 324	9	16	0,63184	0,456	10	0,285
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 326	7	10	0,2606	0,21	2	0,042
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 326	8	7	0,18753	0,147	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 326	9	3	0,08067	0,063	4	0,084
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 327	7	43	1,45691	0,93267	0	1,42109E-17
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 327	8	35	1,13555	0,75915	1	0,02169
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 327	9	28	0,93953	0,60732	1	0,02169
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 328	7	49	1,59577	0,931	1	0,019
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 328	8	61	1,72465	1,159	3	0,057
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 328	9	44	1,29367	0,836	0	0
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 329	7	143	4,85586	3,20034	1	0,02238
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 329	8	159	5,45635	3,55842	1	0,02238
Гипер	Магазин 4	Хлеб и хлебобулочные изд	Хлеб и хлебобулочные изд 329	9	105	3,56402	2,3499	0	8,88178E-17
Гипер	Магазин 8	Молочные продукты	Молочные продукты 1	7	33	1,4169	1,15253	5	0,17462
Гипер	Магазин 8	Молочные продукты	Молочные продукты 1	8	25	1,1121	0,87312	3	0,10477
Гипер	Магазин 8	Молочные продукты	Молочные продукты 1	9	46	1,86132	1,36207	5	0,16764
Гипер	Магазин 8	Молочные продукты	Молочные продукты 2	7	39	1,35926	1,01923	9	0,24268
Гипер	Магазин 8	Молочные продукты	Молочные продукты 2	8	41	1,41335	1,06776	8	0,21841
Гипер	Магазин 8	Молочные продукты	Молочные продукты 2	9	28	1,01122	0,70979	7	0,21236
Гипер	Магазин 8	Молочные продукты	Молочные продукты 3	7	27	1,16758	0,94301	9	0,31433
Гипер	Магазин 8	Молочные продукты	Молочные продукты 3	8	32	1,41974	1,11763	5	0,17462
Гипер	Магазин 8	Молочные продукты	Молочные продукты 3	9	47	1,91128	1,39002	3	0,10478
Гипер	Магазин 8	Молочные продукты	Молочные продукты 4	7	40	1,4007	1,09207	4	0,09706
Гипер	Магазин 8	Молочные продукты	Молочные продукты 4	8	40	1,41575	0,99491	4	0,12135
Гипер	Магазин 8	Молочные продукты	Молочные продукты 4	9	24	0,91001	0,65523	4	0,12135
Гипер	Магазин 8	Молочные продукты	Молочные продукты 5	7	56	1,94633	1,4439	6	0,16988
Гипер	Магазин 8	Молочные продукты	Молочные продукты 5	8	41	1,39331	1,0374	9	0,21838
Гипер	Магазин 8	Молочные продукты	Молочные продукты 5	9	26	0,98474	0,66125	3	0,09101
Гипер	Магазин 8	Молочные продукты	Молочные продукты 6	7	18	0,66589	0,53579	3	0,08929
Гипер	Магазин 8	Молочные продукты	Молочные продукты 6	8	27	1,01869	0,82189	8	0,2442
Гипер	Магазин 8	Молочные продукты	Молочные продукты 6	9	14	0,54201	0,42735	3	0,09157
Гипер	Магазин 8	Молочные продукты	Молочные продукты 7	8	6	0,61994	0,50872	2	0,16957
Гипер	Магазин 8	Молочные продукты	Молочные продукты 7	9	8	0,81592	0,6783	1	0,08479
Гипер	Магазин 8	Молочные продукты	Молочные продукты 8	8	5	0,53794	0,42393	3	0,25436
Гипер	Магазин 8	Молочные продукты	Молочные продукты 8	9	10	1,05891	0,84787	5	0,42393
Гипер	Магазин 8	Молочные продукты	Молочные продукты 9	7	22	0,96878	0,7651	6	0,22434
Гипер	Магазин 8	Молочные продукты	Молочные продукты 9	8	3	0,14697	0,11217	4	0,16025
Гипер	Магазин 8	Молочные продукты	Молочные продукты 9	9	4	0,19181	0,16025	7	0,24836
Гипер	Магазин 8	Молочные продукты	Молочные продукты 10	7	0	0	0	0	0,00001
Гипер	Магазин 8	Молочные продукты	Молочные продукты 10	8	0	0	0	0	0,00001
Гипер	Магазин 8	Молочные продукты	Молочные продукты 10	9	0	0	0	0	0,00001
Гипер	Магазин 8	Молочные продукты	Молочные продукты 11	7	19	0,81581	0,63089	6	0,19227
Гипер	Магазин 8	Молочные продукты	Молочные продукты 11	8	3	0,14696	0,10415	4	0,16025
Гипер	Магазин 8	Молочные продукты	Молочные продукты 11	9	16	0,69855	0,5608	10	0,32041
Гипер	Магазин 8	Молочные продукты	Молочные продукты 12	7	28	1,50172	1,12466	13	0,63725
Гипер	Магазин 8	Молочные продукты	Молочные продукты 12	8	26	1,44014	1,12462	5	0,18745
Гипер	Магазин 8	Молочные продукты	Молочные продукты 12	9	26	1,30174	0,93316	3	0,10653
Гипер	Магазин 8	Молочные продукты	Молочные продукты 14	7	69	2,24899	1,52416	1	0,02442
Гипер	Магазин 8	Молочные продукты	Молочные продукты 14	8	39	1,33281	0,95238	9	0,21978
Гипер	Магазин 8	Молочные продукты	Молочные продукты 14	9	60	2,03294	1,4652	2	0,04884
Гипер	Магазин 8	Молочные продукты	Молочные продукты 16	7	68	2,74874	1,95976	3	0,08646
Гипер	Магазин 8	Молочные продукты	Молочные продукты 16	8	73	2,87511	1,99309	0	1,42109E-17
Гипер	Магазин 8	Молочные продукты	Молочные продукты 16	9	85	3,16178	2,08241	0	0
Гипер	Магазин 8	Молочные продукты	Молочные продукты 17	7	53	1,94866	1,28491	1	0,02816
Гипер	Магазин 8	Молочные продукты	Молочные продукты 17	8	58	2,29047	1,63328	4	0,11264
Гипер	Магазин 8	Молочные продукты	Молочные продукты 17	9	57	2,29929	1,60512	10	0,2816
Гипер	Магазин 8	Молочные продукты	Молочные продукты 18	7	299	14,31484	9,44788	36	0,97812
Гипер	Магазин 8	Молочные продукты	Молочные продукты 18	8	218	10,28498	6,56811	1	0,03396
Гипер	Магазин 8	Молочные продукты	Молочные продукты 18	9	236	11,67608	8,03832	4	0,11412
Гипер	Магазин 8	Молочные продукты	Молочные продукты 19	7	110	4,27844	3,02261	4	0,10992
Гипер	Магазин 8	Молочные продукты	Молочные продукты 19	8	99	3,85423	2,72042	1	0,02747
Гипер	Магазин 8	Молочные продукты	Молочные продукты 19	9	103	4,00872	2,83024	3	0,08238
Гипер	Магазин 8	Молочные продукты	Молочные продукты 20	7	516	14,99954	11,30705	15	0,3696
Гипер	Магазин 8	Молочные продукты	Молочные продукты 20	8	403	11,66687	8,79736	20	0,4928
Гипер	Магазин 8	Молочные продукты	Молочные продукты 20	9	262	7,77065	6,45568	18	0,44352
Гипер	Магазин 8	Молочные продукты	Молочные продукты 23	7	1	0,04199	0,03883	0	0
Гипер	Магазин 8	Молочные продукты	Молочные продукты 24	7	10	0,66655	0,5104	10	0,4517
Гипер	Магазин 8	Молочные продукты	Молочные продукты 24	8	14	0,70486	0,63238	4	0,18068
Гипер	Магазин 8	Молочные продукты	Молочные продукты 24	9	8	0,54692	0,40121	6	0,27102
Гипер	Магазин 8	Молочные продукты	Молочные продукты 25	7	1	0,04199	0,03883	0	0
Гипер	Магазин 8	Молочные продукты	Молочные продукты 26	7	25	1,25975	1,00214	3	0,12804
Гипер	Магазин 8	Молочные продукты	Молочные продукты 26	8	32	1,49839	1,24288	7	0,22707
Гипер	Магазин 8	Молочные продукты	Молочные продукты 26	9	47	2,23226	1,55877	4	0,17072
Гипер	Магазин 8	Молочные продукты	Молочные продукты 27	7	13	0,59387	0,49134	5	0,18897
Гипер	Магазин 8	Молочные продукты	Молочные продукты 27	8	23	1,10344	0,89007	6	0,2337
Гипер	Магазин 8	Молочные продукты	Молочные продукты 27	9	8	0,39992	0,3116	0	2,84217E-17
Гипер	Магазин 8	Молочные продукты	Молочные продукты 28	7	13	0,73182	0,53368	2	0,08211
Гипер	Магазин 8	Молочные продукты	Молочные продукты 28	8	8	0,41692	0,33819	3	0,12315
Гипер	Магазин 8	Молочные продукты	Молочные продукты 28	9	6	0,31394	0,25118	4	0,17073
Гипер	Магазин 8	Молочные продукты	Молочные продукты 29	7	114	5,43091	4,15209	8	0,27659
Гипер	Магазин 8	Молочные продукты	Молочные продукты 29	8	78	3,80867	2,75215	4	0,12976
Гипер	Магазин 8	Молочные продукты	Молочные продукты 29	9	68	3,22537	2,38167	0	-8,52651E-17
Гипер	Магазин 8	Молочные продукты	Молочные продукты 30	7	44	2,09111	1,59416	1	0,03457
Гипер	Магазин 8	Молочные продукты	Молочные продукты 30	8	30	1,4245	1,0982	11	0,35682
Гипер	Магазин 8	Молочные продукты	Молочные продукты 30	9	28	1,23173	0,93901	4	0,17072
Гипер	Магазин 8	Молочные продукты	Молочные продукты 31	7	226	2,95525	2,1453	1	0,01068
Гипер	Магазин 8	Молочные продукты	Молочные продукты 31	8	186	2,88902	1,98648	13	0,13884
Гипер	Магазин 8	Молочные продукты	Молочные продукты 31	9	224	3,32983	2,05152	30	0,2565
Гипер	Магазин 8	Молочные продукты	Молочные продукты 32	7	197	2,62013	1,8867	13	0,13884
Гипер	Магазин 8	Молочные продукты	Молочные продукты 32	8	181	2,81921	1,93308	8	0,08544
Гипер	Магазин 8	Молочные продукты	Молочные продукты 32	9	208	3,13784	1,94454	0	-5,68434E-17
Гипер	Магазин 8	Молочные продукты	Молочные продукты 33	7	327	4,27033	3,18351	12	0,12816
Гипер	Магазин 8	Молочные продукты	Молочные продукты 33	8	270	4,16319	2,8836	21	0,22428
Гипер	Магазин 8	Молочные продукты	Молочные продукты 33	9	261	3,89364	2,42538	40	0,342
Гипер	Магазин 8	Молочные продукты	Молочные продукты 34	7	78	1,88381	1,27998	11	0,18051
Гипер	Магазин 8	Молочные продукты	Молочные продукты 34	8	93	2,24192	1,52613	3	0,04923
Гипер	Магазин 8	Молочные продукты	Молочные продукты 34	9	94	2,36956	1,46464	5	0,06155
Гипер	Магазин 8	Молочные продукты	Молочные продукты 35	7	84	2,03638	1,32924	11	0,18051
Гипер	Магазин 8	Молочные продукты	Молочные продукты 35	8	97	2,30403	1,59177	10	0,1641
Гипер	Магазин 8	Молочные продукты	Молочные продукты 35	9	108	2,56555	1,42788	3	0,03693
Гипер	Магазин 8	Молочные продукты	Молочные продукты 36	7	33	0,83995	0,57816	6	0,10512
Гипер	Магазин 8	Молочные продукты	Молочные продукты 36	8	14	0,34269	0,24528	8	0,14016
Гипер	Магазин 8	Молочные продукты	Молочные продукты 36	9	28	0,72877	0,49056	4	0,07008
Гипер	Магазин 8	Молочные продукты	Молочные продукты 37	7	14	1,1026	0,83986	5	0,29995
Гипер	Магазин 8	Молочные продукты	Молочные продукты 37	8	16	1,25589	0,95984	5	0,29995
Гипер	Магазин 8	Молочные продукты	Молочные продукты 37	9	9	0,71691	0,53991	2	0,11998
Гипер	Магазин 8	Молочные продукты	Молочные продукты 38	7	9	0,62811	0,53991	4	0,23996
Гипер	Магазин 8	Молочные продукты	Молочные продукты 38	8	15	1,17503	0,89985	5	0,29995
Гипер	Магазин 8	Молочные продукты	Молочные продукты 38	9	8	0,64392	0,47992	3	0,17997
Гипер	Магазин 8	Молочные продукты	Молочные продукты 39	7	33	1,50727	1,01063	3	0,10718
Гипер	Магазин 8	Молочные продукты	Молочные продукты 39	8	12	0,55983	0,4517	9	0,34452
Гипер	Магазин 8	Молочные продукты	Молочные продукты 39	9	24	1,1388	0,91872	3	0,11484
Гипер	Магазин 8	Молочные продукты	Молочные продукты 40	7	10	0,4519	0,30625	5	0,15312
Гипер	Магазин 8	Молочные продукты	Молочные продукты 40	8	5	0,2356	0,16077	5	0,1914
Гипер	Магазин 8	Молочные продукты	Молочные продукты 40	9	4	0,18796	0,15312	2	0,07656
Гипер	Магазин 8	Молочные продукты	Молочные продукты 41	7	6	0,26554	0,22968	4	0,13781
Гипер	Магазин 8	Молочные продукты	Молочные продукты 41	8	4	0,18561	0,14547	5	0,1914
Гипер	Магазин 8	Молочные продукты	Молочные продукты 41	9	8	0,31292	0,30624	7	0,26796
Гипер	Магазин 8	Молочные продукты	Молочные продукты 42	7	49	2,21371	1,59243	7	0,24499
Гипер	Магазин 8	Молочные продукты	Молочные продукты 42	8	28	1,32167	1,04121	8	0,30624
Гипер	Магазин 8	Молочные продукты	Молочные продукты 42	9	32	1,51633	1,22496	2	0,07656
Гипер	Магазин 8	Молочные продукты	Молочные продукты 43	7	19	0,80402	0,50578	21	0,55902
Гипер	Магазин 8	Молочные продукты	Молочные продукты 43	8	55	2,33928	1,39018	12	0,28776
Гипер	Магазин 8	Молочные продукты	Молочные продукты 43	9	28	1,20672	0,71368	3	0,07986
Гипер	Магазин 8	Молочные продукты	Молочные продукты 44	7	34	1,44266	0,8734	8	0,19184
Гипер	Магазин 8	Молочные продукты	Молочные продукты 44	8	30	1,2737	0,72468	18	0,47916
Гипер	Магазин 8	Молочные продукты	Молочные продукты 44	9	28	1,21957	0,74536	10	0,2662
Гипер	Магазин 8	Молочные продукты	Молочные продукты 45	7	38	1,83827	1,29048	10	0,3396
Гипер	Магазин 8	Молочные продукты	Молочные продукты 45	8	168	8,15529	5,70528	0	-4,54747E-16
Гипер	Магазин 8	Молочные продукты	Молочные продукты 45	9	235	11,17183	6,6274	5	0,1358
Гипер	Магазин 8	Молочные продукты	Молочные продукты 46	7	16	0,29396	0,20192	13	0,16406
Гипер	Магазин 8	Молочные продукты	Молочные продукты 46	8	10	0,1879	0,1262	3	0,03786
Гипер	Магазин 8	Молочные продукты	Молочные продукты 46	9	13	0,23495	0,16406	14	0,17668
Гипер	Магазин 8	Молочные продукты	Молочные продукты 47	7	51	0,93586	0,64362	17	0,21454
Гипер	Магазин 8	Молочные продукты	Молочные продукты 47	8	16	0,29288	0,20192	0	-2,84217E-17
Гипер	Магазин 8	Молочные продукты	Молочные продукты 47	9	3	0,05597	0,03786	9	0,11358
Гипер	Магазин 8	Молочные продукты	Молочные продукты 48	7	12	0,81774	0,59592	2	0,09932
Гипер	Магазин 8	Молочные продукты	Молочные продукты 48	8	23	1,66777	1,21853	2	0,11684
Гипер	Магазин 8	Молочные продукты	Молочные продукты 48	9	20	1,5198	1,037	0	-5,68434E-17
Гипер	Магазин 8	Молочные продукты	Молочные продукты 49	7	43	1,45612	1,04343	6	0,14559
Гипер	Магазин 8	Молочные продукты	Молочные продукты 49	8	29	0,95576	0,70369	9	0,21839
Гипер	Магазин 8	Молочные продукты	Молочные продукты 49	9	22	0,80678	0,53383	1	0,02426
Гипер	Магазин 8	Молочные продукты	Молочные продукты 50	7	44	1,56291	1,23769	10	0,29123
